===IMAGE: 08_subscribeopen-오픈알림/fullpage.png===
27	처음이라면
27	윤소정의 생각 80편
27	생각구독 신청
27	오프라인
27	커뮤니티
24	0 .  LOGIN MY A
156	윤소정의 생각구독
214	Subscribe To Thoughts
357	윤소정의 생각구독은,
421	SNS에 올리고 싶지 않은
451	날것의 일기, 인사이트를
486	매달 말일 친구들에게 공유하며
519	16년째 함께 성장하고 있습니다.
583	(매달 말, 24시간동안만 신청 가능)
704	알림을 받고 싶으신가요?
737	이번달 말일, 문자로 알려드릴게요.
770	*신청알림 외 정보로 활용되지 않습니다.
855	1. 이름•
932	2. 연락처 .
1009	3. 이번달 말일, 생각구독 신청서를 보내드릴까요?
1040	_ 네. 보내주세요!
1084	개인정보 수집 및 이용 동의
1282	• 개인정보 수집 및 이용에 동의합니다.
1337	제출
1613	윤소정의 생각구독
1615	이용악관
1610	o
1637	(주) 트루스에듀케이트
1640	걔인정보처리방치
1660	Adress: 2F 10, Backjegobun ro 43-gil, Songpa-gu, Seoul, Republic of Korea
1679	BUSINESSREGISTRATION 753-88-03507
1701	Sales Report Number: 2025-서울송파-0729 / dongilishin
1742	고객센터 : 카카오독 채널 @truspia
1764	이메일 : hhotrusgroup.co.kr
1803	Copyright c) 2026 윤소정의 생각구독 All rights reserved.
